binomial,longitude,latitude
Acosmium diffusissimum,-39.779722,-15.840278
Acosmium diffusissimum,-40.680278,-14.759444
Acosmium diffusissimum,-39.780556,-14.940278
Acosmium diffusissimum,-41.009167,-12.455278
Acosmium diffusissimum,-44.266389,-15.086944
Acosmium diffusissimum,-41.219722,-15.659722
Acosmium diffusissimum,-42.766667,-12.716667
Acosmium diffusissimum,-40.710278,-12.724444
Acosmium diffusissimum,-40.1461305238,-13.5871440696
Acosmium diffusissimum,-42.77,-12.72
Acosmium diffusissimum,-39.7647956664,-17.0087570253
Acosmium diffusissimum,-43.079838,-15.71119
Acosmium diffusissimum,-41.7405452094,-13.5871440696
Acosmium diffusissimum,-41.220556,-15.480278
Acosmium diffusissimum,-41.7405452094,-13.5871440696
Acosmium diffusissimum,-44.007778,-14.849722
Acosmium diffusissimum,-41.151944,-12.781944
Acosmium diffusissimum,-42.064195,-20.881314
Acosmium diffusissimum,-41.104722,-12.944722
Acosmium diffusissimum,-44.45237,-15.56637
Acosmium diffusissimum,-44.8604695,-15.5725340347
Acosmium diffusissimum,-43.079838,-15.71119
